Time,ch1,ch1_Interpolated,ch7,ch8,rssi
06/07/2014 00:58:25.097288000,17.6249389648,,21.6700000763,58.5200004578,-75
06/07/2014 00:58:27.028511000,17.6417446136,,21.6299991608,58.5800018311,-75
06/07/2014 00:58:35.096002000,17.6654186249,,21.6100006104,58.6399993896,-75
06/07/2014 00:58:40.097125000,17.5995140076,,21.5900001526,58.6899986267,-75
06/07/2014 00:58:45.098952000,17.5625762939,,21.5599994659,58.7099990845,-75
06/07/2014 00:58:50.099270000,17.5677757263,,21.5300006866,58.7799987793,-75
06/07/2014 00:58:55.096440000,17.5874633789,,21.5,58.8400001526,-75
06/07/2014 00:59:00.095944000,17.5417976379,,21.4799995422,58.8899993896,-75
06/07/2014 00:59:05.095591000,17.4844284058,,21.4500007629,58.9099998474,-75
06/07/2014 00:59:10.095939000,17.5094985962,,21.4200000763,58.9700012207,-75
06/07/2014 00:59:15.095896000,17.5220336914,,21.3899993896,59.0600013733,-75
06/07/2014 00:59:20.098934000,17.5277938843,,21.3700008392,59.1500015259,-75
06/07/2014 00:59:25.099228000,17.4998588562,,21.3500003815,59.2700004578,-75
06/07/2014 00:59:30.097137000,17.4380340576,,21.3099994659,59.2900009155,-75
06/07/2014 00:59:35.096915000,17.4605045319,,21.2800006866,59.3800010681,-75
06/07/2014 00:59:40.097563000,17.4640350342,,21.2600002289,59.4399986267,-75
06/07/2014 00:59:45.096467000,17.4266281128,,21.25,59.4900016785,-75
06/07/2014 00:59:50.096781000,17.3707408905,,21.2199993134,59.5099983215,-75
06/07/2014 00:59:55.097928000,17.402223587,,21.1800003052,59.5699996948,-75
06/07/2014 01:00:00.096180000,17.406867981,,21.1599998474,59.6699981689,-75
06/07/2014 01:00:05.095987000,17.4133663177,,21.1399993896,59.7299995422,-75
06/07/2014 01:00:15.096624000,17.334186554,,21.0799999237,60.0699996948,-75
06/07/2014 01:00:20.097506000,17.3477458954,,21.0499992371,60.3800010681,-76
06/07/2014 01:00:25.096762000,17.3574962616,,21.0300006866,60.6500015259,-75
06/07/2014 01:00:30.097187000,17.3790435791,,21,60.9900016785,-75
06/07/2014 01:00:35.096824000,17.3414478302,,20.9699993134,61.2200012207,-75
06/07/2014 01:00:40.097230000,17.2780380249,,20.9599990845,61.2999992371,-75
06/07/2014 01:00:45.095966000,17.302740097,,20.9300003052,61.2700004578,-75
06/07/2014 01:00:50.097607000,17.3124885559,,20.9099998474,61.4500007629,-75
06/07/2014 01:00:52.028689000,17.3020877838,,20.8700008392,61.5400009155,-74
06/07/2014 01:01:00.099066000,17.1956691742,,20.8600006104,61.5299987793,-74
06/07/2014 01:01:05.096110000,17.1157150269,,20.8299999237,61.6100006104,-75
06/07/2014 01:01:10.096473000,17.1097717285,,20.7999992371,61.7400016785,-74
06/07/2014 01:01:15.096881000,17.1098632813,,20.7700004578,61.8300018311,-74
06/07/2014 01:01:25.097054000,17.0647373199,,20.7199993134,61.8199996948,-74
06/07/2014 01:01:30.099768000,17.0096721649,,20.7000007629,61.75,-75
06/07/2014 01:01:35.097862000,17.0132026672,,20.6599998474,61.7099990845,-75
06/07/2014 01:01:40.097302000,17.0309448242,,20.6399993896,61.7099990845,-75
06/07/2014 01:01:45.097275000,17.036611557,,20.6100006104,61.75,-75
06/07/2014 01:01:50.096895000,16.9766197205,,20.5900001526,61.8300018311,-75
06/07/2014 01:01:55.096737000,16.9092903137,,20.5499992371,61.9099998474,-75
06/07/2014 01:02:00.097393000,16.9261035919,,20.5300006866,62.1199989319,-75
06/07/2014 01:02:05.097437000,16.9342803955,,20.5,62.3600006104,-75
06/07/2014 01:02:10.096027000,16.9418945313,,20.4699993134,62.5999984741,-75
06/07/2014 01:02:15.099096000,16.8927688599,,20.4400005341,62.7400016785,-75
06/07/2014 01:02:20.096732000,16.8337917328,,20.4200000763,62.7599983215,-75
06/07/2014 01:02:25.096931000,16.8455944061,,20.3999996185,62.7299995422,-75
06/07/2014 01:02:30.096197000,16.8504257202,,20.3600006104,62.7000007629,-75
06/07/2014 01:02:35.098288000,16.86120224,,20.3400001526,62.7000007629,-75
06/07/2014 01:02:40.097312000,16.8053817749,,20.2999992371,62.7799987793,-75
06/07/2014 01:02:45.097633000,16.7511425018,,20.2700004578,62.7700004578,-75
06/07/2014 01:02:50.099234000,16.754858017,,20.25,62.7999992371,-75
06/07/2014 01:02:55.095756000,16.7786407471,,20.2199993134,62.7999992371,-75
06/07/2014 01:03:00.096888000,16.7300682068,,20.2000007629,62.7599983215,-75
